date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:03	149/149	---MCZ	200	added ('OK')	text/plain	date:Fri,%2003%20Mar%202023%2014:53:54%20GMT	https://benglalyrics.blogspot.com/robots.txt		(from )
21:05:04	98819/98819	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2014:53:54%20GMT	https://benglalyrics.blogspot.com/	C:/My%20Web%20Sites/300/benglalyrics.blogspot.com/index.html	(from )
21:05:05	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Fri,%2003%20Mar%202023%2014:53:54%20GMT	https://benglalyrics.blogspot.com/favicon.ico	C:/My%20Web%20Sites/300/benglalyrics.blogspot.com/favicon.ico	(from https://benglalyrics.blogspot.com/)
21:05:05	159405/159405	---M-Z	200	added ('OK')	application/atom+xml	date:Fri,%2003%20Mar%202023%2014:53:54%20GMT	https://benglalyrics.blogspot.com/feeds/posts/default	C:/My%20Web%20Sites/300/benglalyrics.blogspot.com/feeds/posts/default	(from https://benglalyrics.blogspot.com/)
21:05:07	132874/132874	---M-Z	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2014:53:54%20GMT	https://benglalyrics.blogspot.com/feeds/posts/default?alt=rss	C:/My%20Web%20Sites/300/benglalyrics.blogspot.com/feeds/posts/default9522	(from https://benglalyrics.blogspot.com/)
21:05:08	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/300/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://benglalyrics.blogspot.com/)
21:05:08	170570/170570	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Mar%202023%2015:05:10%20GMT	https://cdn.statically.io/gh/TaufiqHdyt/CDN/fd1ce28b/font-awesome-5-pro/css/all.min.css	C:/My%20Web%20Sites/300/cdn.statically.io/gh/TaufiqHdyt/CDN/fd1ce28b/font-awesome-5-pro/css/all.min.css	(from https://benglalyrics.blogspot.com/)
21:05:08	4301/4301	---M--	200	added ('OK')	image/jpeg	etag:%22ve47%22	https://2.bp.blogspot.com/-fjaZBtfvzac/UN1mw2tUamI/AAAAAAAADkc/XdKqt8hWZ6w/s1600/anon.jpg	C:/My%20Web%20Sites/300/2.bp.blogspot.com/-fjaZBtfvzac/UN1mw2tUamI/AAAAAAAADkc/XdKqt8hWZ6w/s1600/anon.jpg	(from https://benglalyrics.blogspot.com/)
21:05:09	372/372	---M--	200	added ('OK')	image/png	etag:%22v1bdf%22	https://4.bp.blogspot.com/-cmZSAe4hgWI/V0K-3C5xiHI/AAAAAAAAG90/2btatUgRsM4qf8HIc7QweuToTkRqRNeuACLcB/s1600/delete.png	C:/My%20Web%20Sites/300/4.bp.blogspot.com/-cmZSAe4hgWI/V0K-3C5xiHI/AAAAAAAAG90/2btatUgRsM4qf8HIc7QweuToTkRqRNeuACLcB/s1600/delete.png	(from https://benglalyrics.blogspot.com/)
21:05:11	1/1	---MC-	200	added ('OK')	text/css	date:Fri,%2003%20Mar%202023%2015:05:13%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=6149577547760819166&zx=b9abc885-0153-4191-8533-11817df8ec08	C:/My%20Web%20Sites/300/www.blogger.com/dyn-css/authorization475a.css	(from https://benglalyrics.blogspot.com/)
